timestamp,f1,f2,f3,f4,f5,f6,f7,f8,clear,nir
1758177988,1399.8656,3127.6667,3595.5308,3538.02,11577.88,10618.319,9022.394,3133.4546,21848.35,3573.394
1758177943,1309.2162,3316.417,3779.2932,3614.3398,13099.06,10283.158,9254.067,3343.563,20816.195,2218.4104
1758175610,734.1412,1732.5352,2093.0547,1894.5836,6871.915,6032.8047,5328.104,1969.9222,13527.542,1477.153
1758179044,1112.1562,2734.0085,3236.8423,3268.8057,10706.736,8837.785,7637.9697,2759.0168,15606.11,1516.6505
1758178522,1156.0563,2838.6277,3224.939,3218.659,10598.923,8516.993,7837.9185,2767.1057,15398.311,1483.2086
1758178086,1400.4489,3128.069,3592.0603,3535.8677,11574.725,10620.116,9022.665,3128.936,21848.512,3568.7334
1758175371,941.3892,2340.5085,2806.2004,2542.3147,9321.562,7900.551,7118.8716,2574.9988,17642.332,1746.5417
1758175197,858.4584,2110.7644,2343.5918,2325.3499,8084.493,7000.2217,7078.3784,2292.0564,15585.762,1452.2195
1758177615,556.66656,925.8145,1061.6904,1219.8488,3139.995,3623.9902,3344.63,1166.9828,7237.5776,757.86084
1758179101,1114.1904,2736.1726,3237.4382,3273.4658,10714.531,8835.803,7635.3857,2757.3025,15601.837,1520.3
1758176760,615.3858,1047.0905,1206.0691,1364.724,3577.6133,4050.303,3828.019,1247.3721,8379.722,855.81445
1758178943,970.326,2238.717,2582.8975,2689.6655,8212.057,7544.109,6073.211,2285.1328,13898.328,1257.0482
1758176919,772.9814,1659.6124,1957.7136,1824.9624,6815.1045,5184.326,5708.788,1914.5447,10484.681,1059.3357
1758178444,1252.4321,2725.5447,3047.6436,3305.2346,9320.126,9064.339,7390.584,2627.4744,16916.2,1545.2771
1758175219,856.3771,2107.766,2339.8853,2325.9365,8082.977,7000.239,7086.497,2295.194,15588.481,1450.7905
1758177977,1304.9949,3314.592,3780.8987,3615.5278,13100.115,10282.487,9249.424,3340.819,20815.57,2216.3467
1758178216,1439.8978,3184.5654,3627.1975,3601.6643,11326.281,11099.132,9345.443,3116.808,23895.146,3604.428
1758176771,614.5736,1046.1018,1209.8232,1360.8499,3576.6445,4043.6914,3827.0469,1244.7654,8386.542,854.3686
1758177796,868.5621,2060.107,2291.2664,2205.2163,8110.374,6246.599,6351.331,2166.7302,12690.42,1434.4238
1758177121,1351.3123,3507.4417,4026.191,4185.2637,13363.103,10885.505,9866.0625,3417.9468,21291.484,1939.3716
1758177762,863.8936,2057.168,2296.9285,2201.964,8108.8687,6246.825,6351.1255,2172.866,12688.997,1429.7277
1758177955,1307.4998,3314.9167,3779.7742,3612.6436,13103.966,10281.753,9250.437,3341.4026,20818.91,2218.0144
1758175105,1086.9047,2562.998,2927.3633,2901.3894,9268.1455,7872.9897,7798.2485,2649.5972,15855.54,1510.0414
1758178608,1148.9655,2838.32,3219.3164,3221.42,10599.078,8516.043,7840.0615,2764.953,15392.386,1479.1995
1758176941,774.9209,1660.2821,1957.2194,1823.4846,6807.875,5182.034,5707.3857,1916.4938,10483.931,1064.8605
1758178108,1396.5386,3122.6995,3592.3926,3539.5474,11571.028,10619.071,9026.59,3132.554,21843.535,3570.5295
1758177773,870.3376,2052.8315,2291.9595,2202.6782,8109.792,6246.6543,6351.7134,2172.3433,12689.331,1437.5337
1758175446,863.5151,2148.488,2580.3633,2325.079,8575.046,7290.0356,6498.0654,2379.561,16413.963,1683.9991
1758176815,615.076,1047.6024,1212.6228,1361.0741,3581.6404,4047.6836,3827.84,1248.742,8385.926,854.12933
1758175599,733.3556,1731.5752,2088.4531,1892.5383,6869.349,6033.2153,5330.4316,1977.6301,13519.273,1475.192
1758177406,1315.179,2770.3245,3180.8828,3474.7407,9935.116,9980.914,8245.896,2987.806,19213.66,1704.7877
